Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,latencia e2e_primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,latencia e2e_secundaria,Tipo,Algoritmo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,"[8, 4, 3]",400.0,21.2,3.8,2.4,P,calcula_ruta_bellman_ford,OK,0.0005519390106201172,18.5,8616.171875
2,8,4,1,"[8, 4]",200.0,10.6,3.8,1.2,"[8, 3, 4]",400.0,21.2,3.8,2.4,P,calcula_ruta_bellman_ford,OK,0.0010418891906738281,2.5,8616.171875
3,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,"[10, 14, 13, 9]",400.0,21.4,3.8,2.6,P,calcula_ruta_bellman_ford,OK,0.0011949539184570312,0.0,8616.171875
4,14,3,1,"[14, 10, 8, 3]",400.0,21.4,3.8,2.6,"[14, 13, 9, 7, 5, 3]",650.0,34.7,1.0,4.2,P,calcula_ruta_bellman_ford,OK,0.0011141300201416016,0.0,8616.171875
5,14,13,1,"[14, 13]",200.0,10.6,3.8,1.2,"[14, 10, 9, 13]",350.0,18.7,1.0,2.4,P,calcula_ruta_bellman_ford,OK,0.00098419189453125,0.0,8616.171875
6,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_bellman_ford,OK,0.0016331672668457031,0.0,8616.171875
7,23,8,1,"[23, 25, 18, 14, 10, 8]",450.0,24.3,13.6,3.2,"[23, 13, 9, 7, 8]",670.0,35.7,1.0,4.2,P,calcula_ruta_bellman_ford,OK,0.0009789466857910156,0.0,8616.171875
8,23,10,1,"[23, 25, 18, 14, 10]",350.0,18.9,13.6,2.6,"[23, 13, 9, 10]",500.0,26.6,1.0,3.1,P,calcula_ruta_bellman_ford,OK,0.0016980171203613281,0.0,8616.171875
9,26,23,1,"[26, 23]",150.0,7.9,1.0,1.0,"[26, 21, 13, 23]",450.0,24.1,12.8,2.8,P,calcula_ruta_bellman_ford,OK,0.0010471343994140625,0.0,8616.171875
