Id,origen,destino,num_demandas,ruta_primaria,distancia_primaria,atenuacion_primaria,osnr_primaria,retardo e2e primaria,ruta_secundaria,distancia_secundaria,atenuacion_secundaria,osnr_secundaria,retardo e2e secundaria,Tipo,Estado,Tiempo,CPU,Memoria
1,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.011343002319336,0.0,8291.671875
2,8,3,1,"[8, 3]",200.0,10.6,3.8,1.2,,,,,,U,OK,1.0173938274383545,14.5,8285.9375
3,8,7,1,"[8, 6, 7]",220.0,11.6,1.0,1.5,,,,,,U,OK,1.0167570114135742,3.8,8254.9375
4,9,3,1,"[9, 7, 5, 2, 1, 3]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0187301635742188,0.0,8220.5
5,10,9,1,"[10, 9]",150.0,7.9,1.0,1.0,,,,,,U,OK,1.0166709423065186,9.8,8201.3125
6,12,7,1,"[12, 13, 11, 9, 7]",250.0,13.5,13.6,2.1,,,,,,U,OK,1.0198650360107422,7.0,8192.125
7,13,10,1,"[13, 11, 9, 10]",250.0,13.3,1.0,1.8,,,,,,U,OK,1.0169858932495117,0.0,8185.140625
8,14,13,1,"[14, 12, 13]",200.0,10.6,1.0,1.4,,,,,,U,OK,1.0201008319854736,6.1,8116.546875
9,19,12,1,"[19, 13, 12]",250.0,13.3,3.8,1.6,,,,,,U,OK,1.0214438438415527,0.0,8138.859375
10,21,16,1,"[21, 24, 26, 23, 25, 22, 18, 16]",450.0,24.1,1.0,3.6,,,,,,U,OK,1.0214030742645264,1.2,8121.921875
11,22,8,1,"[22, 18, 15, 14, 10, 8]",350.0,18.9,13.6,2.8,,,,,,U,OK,1.0228817462921143,6.0,8121.296875
12,22,13,1,"[22, 25, 23, 19, 13]",350.0,18.7,3.8,2.6,,,,,,U,OK,1.0245308876037598,2.4,8125.53125
13,23,4,1,"[23, 25, 22, 18, 15, 14, 10, 8, 4]",650.0,34.9,3.8,4.9,,,,,,U,OK,1.0189571380615234,-46.5,8125.9375
14,23,8,1,"[23, 25, 22, 18, 15, 14, 10, 8]",450.0,24.3,13.6,3.6,,,,,,U,OK,1.0174970626831055,0.0,8133.359375
15,23,18,1,"[23, 25, 22, 18]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.0214319229125977,0.0,8131.9375
16,24,13,1,"[24, 21, 17, 13]",150.0,8.1,13.8,1.4,,,,,,U,OK,1.018306016921997,0.0,8130.84375
17,25,14,1,"[25, 22, 18, 15, 14]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.01853609085083,3.7,8132.765625
18,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0187549591064453,5.9,8131.828125
19,25,18,1,"[25, 22, 18]",100.0,5.4,13.8,0.9,,,,,,U,OK,1.0188729763031006,0.0,8118.453125
20,25,20,1,"[25, 22, 18, 16, 20]",200.0,10.8,13.8,1.8,,,,,,U,OK,1.0180490016937256,-97.6,8118.140625
21,30,4,1,"[30, 20, 16, 18, 15, 14, 10, 8, 4]",800.0,42.8,3.8,5.6,,,,,,U,OK,1.0194318294525146,3.6,8126.28125
22,30,29,1,"[30, 29]",50.0,2.7,13.8,0.4,,,,,,U,OK,1.016787052154541,0.0,8130.6875
